Id,Plant,Rework Station,Rework Activity,Defect Location,Defect Type,Pseudo Defect,Week,Rework Duration
81277,Sindelfingen,S9842,Part replaced,Digital dashboard left,Scratch,0,5,110.0
81278,Sindelfingen,A0100,Checked OK,Digital dashboard left,Dirt,0,3,60.0
81279,Ingolstadt,A0100,Checked OK,Digital dashboard left,Label missing,0,9,1.0
81280,Sindelfingen,M9348,Polished,Nothing specified,Scratch,0,14,1.0
81281,Ingolstadt,A0003,Polished,Tailgate front,Scratch,1,3,1.0
81282,Ingolstadt,S3513,Part replaced,Nothing specified,Clip loose,1,12,90.0
81283,Ingolstadt,SP8471,Part replaced,Drivers seat,Paint drops,1,12,1.0
81284,Munich,A0100,Part replaced,Nothing specified,Clip loose,1,5,1.0
81285,Ingolstadt,S9845,Polished,Digital dashboard middle,Screw loose,0,1,5.0
81286,Ingolstadt,S3513,Cleaned,Roof liner right,Clip loose,0,5,120.0
81287,Ingolstadt,A0100,Cleaned,Front door right,Cable missing,0,14,30.0
81288,Ingolstadt,S3513,Polished,Seat back left,Dirt,0,14,30.0
81289,Munich,S4213,Polished,Seat back left,Cable missing,1,5,2.0
81290,Munich,A0087,Cleaned,Glove compartment inner,Dent,0,4,30.0
81291,Sindelfingen,S5123,Polished,Windscreen,Paint drops,0,3,1.0
81292,Sindelfingen,A0087,Polished,Trunk inner left,Part sticks out,0,11,5.0
81293,Munich,A0087,Polished,Seat back left,Scratch,0,6,1.0
81294,Munich,A0089,Part replaced,Trunk inner upper,Elektriks defect,1,2,75.0
81295,Ingolstadt,A0089,Part replaced,Drivers seat,Clip loose,0,12,2.0
81296,Munich,A0100,Polished,Windscreen,Paint drops,0,12,300.0
81297,Sindelfingen,S9845,Polished,Roof liner right,Paint drops,1,9,20.0
81298,Munich,S3513,Polished,Front door right,Part sticks out,0,2,1.0
81299,Sindelfingen,A0003,Polished,Glove compartment inner,Paint drops,1,11,30.0
81300,Ingolstadt,S4213,Polished,Tailgate front,Paint drops,0,6,90.0
81301,Munich,S9845,Cleaned,Drivers seat,Clip loose,0,10,90.0
81302,Munich,A0021,Polished,Digital dashboard left,Part missing,0,6,30.0
81303,Sindelfingen,A0087,Polished,Nothing specified,Paint drops,1,12,30.0
81304,Sindelfingen,M3471,Checked OK,Nothing specified,Polishing error,0,9,5.0
81305,Ingolstadt,A0008,Checked OK,Nothing specified,Scratch,1,11,30.0
81306,Ingolstadt,A0008,Part replaced,Tailgate front,Elektriks defect,0,3,40.0
81307,Munich,A0089,Part replaced,Seat back left,Clip loose,0,7,1.0
81308,Sindelfingen,A0003,Cleaned,Drivers seat,Scratch,0,7,30.0
81309,Ingolstadt,S4213,Polished,Front door right,Part missing,1,4,30.0
81310,Ingolstadt,A0087,Cleaned,Drivers seat,Scratch,0,13,40.0
81311,Ingolstadt,S3513,Part replaced,Nothing specified,Cable missing,0,5,5.0
81312,Sindelfingen,M8439,Dent repaired,Trunk inner upper,Paint drops,0,5,20.0
81313,Sindelfingen,A0021,Polished,Trunk inner upper,Scratch,0,8,5.0
81314,Sindelfingen,A0021,Grinded,Tailgate front,Elektriks defect,0,14,1.0
81315,Sindelfingen,S4213,Part replaced,Nothing specified,Dirt,0,14,90.0
81316,Munich,A0089,Part replaced,Nothing specified,Part missing,0,5,40.0
81317,Sindelfingen,A0008,Part replaced,Digital dashboard middle,Scratch,0,14,10.0
81318,Sindelfingen,A0003,Polished,Seat back left,Label missing,0,8,1.0
81319,Munich,S9842,Polished,Seat back left,Clip loose,0,4,30.0
81320,Ingolstadt,A0087,Cleaned,Drivers seat,Scratch,1,3,40.0
81321,Munich,S3513,Part replaced,Seat back left,Screw loose,1,10,75.0
81322,Sindelfingen,A0003,Polished,Trunk inner upper,Polishing error,0,1,10.0
81323,Ingolstadt,S3513,Cleaned,Digital dashboard middle,Label missing,0,6,1.0
81324,Munich,SP8471,Cleaned,Tailgate front,Screw loose,1,9,15.0
81325,Munich,S9845,Part replaced,Digital dashboard left,Polishing error,0,14,1.0
81326,Ingolstadt,A0021,Grinded,Glove compartment inner,Screw loose,0,12,30.0
81327,Sindelfingen,A0021,Part replaced,Trunk inner upper,Dent,0,6,10.0
81328,Sindelfingen,A0008,Polished,Glove compartment inner,Label missing,0,7,5.0
81329,Ingolstadt,M3417,Checked OK,Trunk inner left,Polishing error,0,9,10.0
81330,Ingolstadt,S3513,Polished,Nothing specified,Elektriks defect,1,8,5.0
81331,Ingolstadt,A0021,Polished,Digital dashboard left,Elektriks defect,0,5,255.0
81332,Sindelfingen,S3513,Part replaced,Nothing specified,Paint drops,0,11,1.0
81333,Sindelfingen,S3513,Part replaced,Tailgate front,Paint drops,0,11,15.0
81334,Sindelfingen,A0100,Checked OK,Digital dashboard left,Scratch,0,12,1.0
81335,Sindelfingen,S3513,Checked OK,Front door right,Polishing error,0,9,1.0
81336,Ingolstadt,A0100,Polished,Glove compartment inner,Part missing,0,8,1.0
81337,Ingolstadt,A0100,Part replaced,Digital dashboard middle,Elektriks defect,1,3,2.0
81338,Munich,A0087,Polished,Tailgate front,Paint drops,1,14,1.0
81339,Ingolstadt,SP8471,Dent repaired,Windscreen,Scratch,1,1,15.0
81340,Ingolstadt,S3513,Polished,Seat back left,Scratch,1,6,1.0
81341,Sindelfingen,S3513,Polished,Tailgate front,Scratch,0,9,1.0
81342,Munich,A0100,Part replaced,Seat back left,Screw loose,0,11,1.0
81343,Ingolstadt,S3513,Part replaced,Trunk inner upper,Scratch,0,9,1.0
81344,Munich,A0100,Grinded,Seat back left,Paint drops,0,5,1.0
81345,Munich,A0089,Polished,Trunk inner upper,Paint drops,0,6,75.0
81346,Sindelfingen,SP8471,Dent repaired,Nothing specified,Dent,0,4,3.0
81347,Sindelfingen,A0003,Grinded,Windscreen,Paint drops,0,7,40.0
81348,Ingolstadt,A0087,Polished,Front door right,Label missing,0,14,40.0
81349,Munich,S9845,Polished,Drivers seat,Scratch,0,6,1.0
